$GNGGA,UTC,Latitude,Direction_of_latitude,Longitude,Direction_of_longitude,GPS_Quality,Number_of_S,HDOP,altitude,Meters,Geoid_separation,Meters,Age_of_differential,checksum,$GNGST,UTC,RMS,semi-major,semi-minor,error_orientation,Lat_sigma_error,Long_sigma_error,Height_sigma_error,checksum,
$GNGGA,140154.6,3004.231597,N,3101.28652,E,5,12,0.7,76.612,M,15.52,M,1,*65,$GNGST,140154.6,2.19,,,,0.051,0.035,0.067,*6D,
$GNGGA,140154.8,3004.231597,N,3101.28652,E,5,12,0.7,76.615,M,15.52,M,1.2,*65,$GNGST,140154.8,2.151,,,,0.051,0.035,0.067,*6E,
$GNGGA,140155,3004.231597,N,3101.286522,E,5,12,0.7,76.613,M,15.52,M,1.4,*6B,$GNGST,140155,2.166,,,,0.051,0.035,0.067,*63,
$GNGGA,140155.2,3004.231599,N,3101.286523,E,5,13,0.7,76.601,M,15.52,M,1.6,*6F,$GNGST,140155.2,2.082,,,,0.051,0.035,0.067,*6A,
$GNGGA,140155.4,3004.231598,N,3101.286525,E,5,13,0.7,76.603,M,15.52,M,0.8,*6B,$GNGST,140155.4,2.163,,,,0.05,0.035,0.066,*62,
$GNGGA,140155.6,3004.231591,N,3101.28652,E,5,13,0.7,76.593,M,15.52,M,1,*61,$GNGST,140155.6,2.113,,,,0.05,0.035,0.066,*67,
$GNGGA,140155.8,3004.231571,N,3101.286503,E,5,13,0.7,76.589,M,15.52,M,1.2,*6D,$GNGST,140155.8,2.077,,,,0.05,0.035,0.066,*6A,
$GNGGA,140156,3004.231525,N,3101.286462,E,5,13,0.7,76.61,M,15.52,M,1.4,*60,$GNGST,140156,2.065,,,,0.05,0.035,0.066,*62,
$GNGGA,140156.2,3004.231465,N,3101.286413,E,5,13,0.7,76.586,M,15.52,M,1.6,*6A,$GNGST,140156.2,2.056,,,,0.05,0.035,0.066,*60,
$GNGGA,140156.4,3004.231382,N,3101.286343,E,5,13,0.7,76.601,M,15.52,M,0.8,*64,$GNGST,140156.4,2.103,,,,0.05,0.035,0.066,*67,
$GNGGA,140156.6,3004.231284,N,3101.286259,E,5,13,0.7,76.592,M,15.52,M,1,*69,$GNGST,140156.6,2.112,,,,0.05,0.035,0.066,*65,
$GNGGA,140156.8,3004.231177,N,3101.286167,E,5,13,0.7,76.6,M,15.52,M,1.2,*6C,$GNGST,140156.8,2.122,,,,0.05,0.035,0.066,*68,
$GNGGA,140157,3004.231066,N,3101.286066,E,5,13,0.7,76.605,M,15.52,M,1.4,*6E,$GNGST,140157,2.079,,,,0.05,0.034,0.066,*6F,
$GNGGA,140157.2,3004.230954,N,3101.285966,E,5,13,0.7,76.595,M,15.52,M,1.6,*63,$GNGST,140157.2,2.063,,,,0.05,0.034,0.066,*66,
$GNGGA,140157.4,3004.230844,N,3101.28586,E,5,13,0.7,76.609,M,15.52,M,1.8,*68,$GNGST,140157.4,2.113,,,,0.05,0.034,0.066,*66,
$GNGGA,140157.6,3004.230734,N,3101.28576,E,5,13,0.7,76.633,M,15.52,M,1,*6E,$GNGST,140157.6,2.113,,,,0.05,0.034,0.065,*67,
$GNGGA,140157.8,3004.230631,N,3101.285662,E,5,13,0.7,76.635,M,15.52,M,1.2,*6A,$GNGST,140157.8,2.127,,,,0.05,0.034,0.065,*6E,
